policy_step,act_chunk_number,act_chunk_index,act_chunk_refresh,act_action_14d,left_arm_joints,left_gripper,right_arm_joints,right_gripper,left_end_effector_pose,right_end_effector_pose,coin_position,coin_orientation_wxyz,coin_z_delta,reward,score,success,episode_ended,max_internal_tracking_error
1,0,0,True,"[-0.0017703622579574585,-0.11262333393096924,-0.06701314449310303,-0.009568989276885986,-0.037526220083236694,-0.04491487145423889,1.0253567695617676,0.06521230936050415,0.011757075786590576,0.005098402500152588,-0.03001190349459648,0.048197031021118164,-0.01267176866531372,0.9779954552650452]","[-0.0014747407985851169,-0.09821974486112595,-0.03597745671868324,-0.008799172937870026,-0.03278867527842522,-0.0391903892159462]",0.0439990870654583,"[0.057458579540252686,0.010428273119032383,0.004320732317864895,-0.026242977008223534,0.041972193866968155,-0.011060128919780254]",0.043502625077962875,"[-0.3003374934196472,-0.35513851046562195,0.9159074425697327,0.6958227753639221,0.004936395213007927,-0.03327445313334465,0.7174252867698669]","[0.2960563600063324,-0.3520886301994324,0.9196286797523499,0.7013338804244995,-0.01587158627808094,0.006912166718393564,0.7126226425170898]","[-0.048490796238183975,-0.09682101011276245,0.7814736366271973]","[0.10407550632953644,0.13759879767894745,0.6830498576164246,0.7097026109695435]",0.0,0.0,0.0,False,False,0.031035687774419785
2,0,1,False,"[-0.0013809502124786377,-0.12045753002166748,-0.06761938333511353,-0.01014949381351471,-0.0397016704082489,-0.04322722554206848,1.0291028022766113,0.06504885107278824,0.0029330849647521973,0.0047637224197387695,-0.026681136339902878,0.049191683530807495,-0.014776557683944702,0.9823222160339355]","[-0.0013743574963882565,-0.11750205606222153,-0.03583367541432381,-0.009946673177182674,-0.03883158788084984,-0.04271534085273743]",0.04399922862648964,"[0.06415296345949173,0.0037890314124524593,0.004807499703019857,-0.02659434638917446,0.048265427350997925,-0.014303666539490223]",0.04334571957588196,"[-0.30052298307418823,-0.3561342656612396,0.9172787666320801,0.693557858467102,0.010031936690211296,-0.041220422834157944,0.7191506624221802]","[0.2956081032752991,-0.3525009751319885,0.9202777147293091,0.7012162804603577,-0.014552559703588486,0.003420860506594181,0.7127917408943176]","[-0.04849079251289368,-0.09682101756334305,0.7814736366271973]","[0.10407550632953644,0.13759879767894745,0.6830496788024902,0.709702730178833]",0.0,0.0,0.0,False,False,0.03178570792078972
3,0,2,False,"[-0.0006723925471305847,-0.11638599634170532,-0.062284648418426514,-0.013862468302249908,-0.039730727672576904,-0.0352022647857666,1.032944917678833,0.06676051765680313,0.020827174186706543,0.01907891035079956,-0.036453910171985626,0.05500084161758423,-0.026060909032821655,0.9810959100723267]","[-0.0007519721402786672,-0.11744992434978485,-0.03593533858656883,-0.013440676033496857,-0.03961790353059769,-0.03616054356098175]",0.04399999976158142,"[0.06644386053085327,0.018796207383275032,0.017415599897503853,-0.035174641758203506,0.05414291098713875,-0.0245621670037508]",0.04320022836327553,"[-0.3006040155887604,-0.3561008870601654,0.9169037342071533,0.6930356621742249,0.011048789136111736,-0.03756092116236687,0.719839334487915]","[0.29554519057273865,-0.3523629605770111,0.9225910305976868,0.7022985816001892,-0.02230706438422203,0.003381474409252405,0.7115248441696167]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407548397779465,0.137598916888237,0.6830494403839111,0.7097029089927673]",0.0,0.0,0.0,False,False,0.026360023766756058
4,0,3,False,"[-0.0018020346760749817,-0.1192886233329773,-0.05863392353057861,-0.011796042323112488,-0.04255717992782593,-0.02842557430267334,1.031847596168518,0.06942000240087509,0.03133571147918701,0.026544809341430664,-0.0386294424533844,0.051937997341156006,-0.033275753259658813,0.9931378364562988]","[-0.0016714292578399181,-0.1188872903585434,-0.03595932945609093,-0.011989740654826164,-0.042182806879282,-0.029411496594548225]",0.04399999976158142,"[0.06907737255096436,0.02985471300780773,0.02546335756778717,-0.03818053379654884,0.05220968648791313,-0.0321660079061985]",0.04336874932050705,"[-0.3005920350551605,-0.35618501901626587,0.9171416163444519,0.692380964756012,0.014343549497425556,-0.03621411696076393,0.7204799056053162]","[0.2952173352241516,-0.35216206312179565,0.9241902232170105,0.7005046606063843,-0.02720591239631176,0.002639890881255269,0.71312415599823]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407538712024689,0.13759900629520416,0.6830495595932007,0.7097028493881226]",0.0,0.0,0.0,False,False,0.022680148482322693
5,0,4,False,"[-0.004745915532112122,-0.10847622156143188,-0.047784626483917236,-0.008335970342159271,-0.034938931465148926,-0.024333477020263672,1.0362236499786377,0.07478184998035431,0.07132565975189209,0.05377984046936035,-0.0590023472905159,0.04866605997085571,-0.06176254153251648,0.999444842338562]","[-0.004398987628519535,-0.11018577963113785,-0.035952575504779816,-0.00882093608379364,-0.03584776446223259,-0.02497972920536995]",0.04399366304278374,"[0.07412634044885635,0.06640655547380447,0.05045907944440842,-0.05631428211927414,0.04909783974289894,-0.05799093097448349]",0.04361770674586296,"[-0.30015113949775696,-0.35575100779533386,0.9168057441711426,0.6956491470336914,0.013969124294817448,-0.03254375234246254,0.7175081372261047]","[0.29456502199172974,-0.3512742519378662,0.9281249642372131,0.6965606212615967,-0.047285232692956924,0.003163253888487816,0.7159310579299927]","[-0.048490796238183975,-0.09682101011276245,0.7814736366271973]","[0.10407568514347076,0.13759863376617432,0.6830497980117798,0.7097026705741882]",0.0,0.0,0.0,False,False,0.011833097785711288
6,0,5,False,"[-0.0025401711463928223,-0.09995847940444946,-0.039351046085357666,-0.01175813376903534,-0.029226243495941162,-0.015193670988082886,1.0437519550323486,0.08228911459445953,0.08256685733795166,0.0790557861328125,-0.0773576945066452,0.05546027421951294,-0.08650912344455719,1.0025192499160767]","[-0.002773912390694022,-0.10127469897270203,-0.036012470722198486,-0.011429419741034508,-0.030064933001995087,-0.01644071936607361]",0.04399048537015915,"[0.08132467418909073,0.08062510937452316,0.07577180117368698,-0.07460536062717438,0.0546354278922081,-0.08287544548511505]",0.043782614171504974,"[-0.3001358211040497,-0.35527345538139343,0.9158703684806824,0.6971617937088013,0.012988146394491196,-0.025227151811122894,0.7163520455360413]","[0.29404503107070923,-0.35167989134788513,0.9339001178741455,0.6951113343238831,-0.058778420090675354,-0.0035757243167608976,0.7164862155914307]","[-0.04849079251289368,-0.09682101011276245,0.7814736366271973]","[0.10407553613185883,0.13759879767894745,0.6830498576164246,0.7097026109695435]",0.0,0.0,0.0,False,False,0.005981042981147766
7,0,6,False,"[-0.0030075833201408386,-0.08865678310394287,-0.0296819806098938,-0.009578146040439606,-0.01863202452659607,-0.00354081392288208,1.0417555570602417,0.08633477240800858,0.13849520683288574,0.12598785758018494,-0.11042987555265427,0.06431570649147034,-0.12760193645954132,1.0152332782745361]","[-0.003004750469699502,-0.09017592668533325,-0.030367908999323845,-0.009791893884539604,-0.020074496045708656,-0.005184190813452005]",0.043994009494781494,"[0.08573835343122482,0.13164468109607697,0.12009447813034058,-0.10578858852386475,0.06307508796453476,-0.12190176546573639]",0.04388566315174103,"[-0.29982441663742065,-0.3551395535469055,0.917104184627533,0.7007619738578796,0.01566264033317566,-0.019729821011424065,0.7129501700401306]","[0.2937327027320862,-0.35027703642845154,0.9420064687728882,0.69373619556427,-0.08685394376516342,-0.005301578901708126,0.7149533629417419]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407549887895584,0.13759887218475342,0.6830494999885559,0.7097029089927673]",0.0,0.0,0.0,False,False,0.01147519052028656
8,0,7,False,"[-0.0017258822917938232,-0.09047842025756836,-0.03315383195877075,-0.016163550317287445,-0.022966504096984863,0.004194676876068115,1.0431201457977295,0.09415803849697113,0.18095892667770386,0.15501868724822998,-0.13206768035888672,0.0746239721775055,-0.1554463803768158,1.0103826522827148]","[-0.0018717206548899412,-0.0904064029455185,-0.032917674630880356,-0.015385701321065426,-0.022601580247282982,0.002999315271154046]",0.043989427387714386,"[0.09315559267997742,0.17518725991249084,0.1508205384016037,-0.12869799137115479,0.073140949010849,-0.15117321908473969]",0.043935008347034454,"[-0.300004780292511,-0.3549371659755707,0.9157196283340454,0.6994538307189941,0.015752578154206276,-0.013992280699312687,0.714367151260376]","[0.2931023836135864,-0.3483748137950897,0.9467954635620117,0.6914381980895996,-0.11090490967035294,-0.004541695583611727,0.7138575315475464]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407542437314987,0.13759899139404297,0.6830494999885559,0.7097028493881226]",0.0,0.0,0.0,False,False,0.009770512580871582
9,0,8,False,"[-0.005507074296474457,-0.0842968225479126,-0.024145424365997314,-0.003381773829460144,-0.015790075063705444,-0.004248321056365967,1.0418448448181152,0.09869855642318726,0.20531201362609863,0.1758510172367096,-0.13833844661712646,0.05231902003288269,-0.17784029245376587,1.0207252502441406]","[-0.005092589650303125,-0.08509135991334915,-0.02499021403491497,-0.004839607048779726,-0.016644727438688278,-0.0033231135457754135]",0.04399316757917404,"[0.09810078144073486,0.20176199078559875,0.17294764518737793,-0.13705843687057495,0.05493594706058502,-0.1744442582130432]",0.04396317899227142,"[-0.2995278537273407,-0.35530364513397217,0.9190186858177185,0.7026661038398743,0.018157368525862694,-0.020924987271428108,0.7109800577163696]","[0.29194176197052,-0.3470973074436188,0.9513635039329529,0.6810973882675171,-0.12269023060798645,-0.008991023525595665,0.721784234046936]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407539457082748,0.13759911060333252,0.683049738407135,0.7097026109695435]",0.0,0.0,0.0,False,False,0.005954265594482422
10,0,9,False,"[-0.005073130130767822,-0.062710702419281,-0.01882457733154297,-0.01207210123538971,-0.011206448078155518,0.018132418394088745,1.0387381315231323,0.10580618679523468,0.2979298233985901,0.250713974237442,-0.188370943069458,0.07140350341796875,-0.24723771214485168,1.0084075927734375]","[-0.005089486483484507,-0.06531579047441483,-0.01969108171761036,-0.011193857528269291,-0.011890426278114319,0.015397089533507824]",0.04399057850241661,"[0.10488839447498322,0.28655868768692017,0.2417190968990326,-0.18165837228298187,0.06929323077201843,-0.2379591166973114]",0.04399818181991577,"[-0.29938721656799316,-0.35460731387138367,0.9187135696411133,0.7043726444244385,0.017493750900030136,-0.006811320781707764,0.7095819711685181]","[0.29113173484802246,-0.3421432375907898,0.9633820056915283,0.6747021675109863,-0.16783958673477173,-0.012750239111483097,0.7186404466629028]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407542437314987,0.13759902119636536,0.6830494403839111,0.7097029089927673]",0.0,0.0,0.0,False,False,0.019175976514816284
11,0,10,False,"[-0.0033119916915893555,-0.06945568323135376,-0.013446569442749023,-0.0038077980279922485,-0.002380549907684326,0.02294015884399414,1.0394761562347412,0.11775345355272293,0.35818588733673096,0.31382596492767334,-0.2337692379951477,0.07456544041633606,-0.3142856955528259,1.0518425703048706]","[-0.003541684476658702,-0.06901969760656357,-0.014018652029335499,-0.004684289917349815,-0.0035847309045493603,0.021979887038469315]",0.04399309679865837,"[0.11625698953866959,0.34978386759757996,0.30539289116859436,-0.22698159515857697,0.07386140525341034,-0.30456048250198364]",0.04399999976158142,"[-0.29929640889167786,-0.35524484515190125,0.9215405583381653,0.7065235376358032,0.025493042543530464,-0.010077549144625664,0.7071583867073059]","[0.2895578444004059,-0.3381405174732208,0.9751443266868591,0.6617364883422852,-0.20708724856376648,-0.0233937855809927,0.720189094543457]","[-0.04849079251289368,-0.09682101756334305,0.7814736366271973]","[0.10407541692256927,0.13759896159172058,0.6830494403839111,0.7097029685974121]",0.0,0.0,0.0,False,False,0.015228271484375
12,0,11,False,"[-0.010218881070613861,-0.054342567920684814,-0.014643251895904541,0.0027658790349960327,-0.005251467227935791,0.031150013208389282,1.0404152870178223,0.13089138269424438,0.48290860652923584,0.3896392583847046,-0.30003446340560913,0.06764116883277893,-0.3986504375934601,1.0527410507202148]","[-0.009431135840713978,-0.05604800209403038,-0.014666012488305569,0.001779713318683207,-0.0050257788971066475,0.029981795698404312]",0.04399503022432327,"[0.12922365963459015,0.46745064854621887,0.3796170949935913,-0.2905910611152649,0.0683811753988266,-0.3866629898548126]",0.04399999976158142,"[-0.2987734079360962,-0.3545096218585968,0.9209712743759155,0.7080841660499573,0.02576765976846218,-0.004789373371750116,0.7056413292884827]","[0.2865603566169739,-0.3276256322860718,0.9830524325370789,0.6324449181556702,-0.2720647156238556,-0.020461436361074448,0.7249658107757568]","[-0.048490796238183975,-0.09682101756334305,0.7814736366271973]","[0.10407549887895584,0.13759887218475342,0.6830494999885559,0.7097029089927673]",0.0,0.0,0.0,False,False,0.02665892243385315
