seed,initial_coin_delta_m,action_mean_l2,bgr_closure_surface_distance_m,rgb_closure_surface_distance_m,rgb_minus_bgr_closure_surface_distance_m,bgr_closure_alignment_error_m,rgb_closure_alignment_error_m,rgb_minus_bgr_closure_alignment_error_m,bgr_max_coin_displacement_m,rgb_max_coin_displacement_m,rgb_minus_bgr_max_coin_displacement_m,bgr_max_coin_lift_m,rgb_max_coin_lift_m,rgb_minus_bgr_max_coin_lift_m,bgr_max_tracking_error,rgb_max_tracking_error,bgr_success,rgb_success,bgr_score,rgb_score
0,0.0,1.4086112192990918,0.02151032552360595,3.0960440654831446e-05,-0.02147936508295112,0.040549394994052475,0.007748845878343493,-0.03280054911570898,9.772480983775613e-07,0.0178736996871493,0.01787272243905092,1.7881393432617188e-07,0.004164636135101318,0.004164457321166992,0.5511229038238525,0.8496008962392807,False,False,0.0,0.0
1,0.0,2.2476860625917214,0.24656509263295212,0.18624408550387964,-0.060321007129072485,0.2940938087094248,0.20779472951050806,-0.08629907919891674,1.666000468656264e-08,1.666000468656264e-08,0.0,0.0,0.0,0.0,0.5941194295883179,0.24741578102111816,False,False,0.0,0.0
2,0.0,1.1535093758893977,0.3430754264100784,0.20115674653455776,-0.14191867987552062,0.3673575644091415,0.22198478535633942,-0.1453727790528021,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.7846777141094208,0.20787313487380743,False,False,0.0,0.0
