update step=0 qpos=[5.115576473709027e-13, -1.1561168578941706e-15, 1.7672687317415835e-17, 7.853411024860463e-16, -9.987140238074121e-13, 2.5006567996865847e-12, 1.0, 5.115578100012286e-13, -1.1561144226744473e-15, 1.7668519981489792e-17, 7.853378731729349e-16, -9.987125059243707e-13, 2.5006539807609363e-12, 1.0]
pred step=0 action=[[-0.02157109512011779, 0.024263336086161047, 0.007964823886723593, -0.04391976998142866, -0.03158800321034505, 0.07294009977806581, 1.0175159775124243, 0.0010591229249641287, -0.0436463440103978, 0.0057819502061988715, -0.05499530060776081, -0.010880153919686109, -0.028043335386371382, 0.9997525886255296]] left_gripper=1.0175159775124243 right_gripper=0.9997525886255296
update step=1 qpos=[-0.01898273453116417, 0.021484296768903732, 0.006752538960427046, -0.03841262310743332, -0.02754315547645092, 0.0636412724852562, 1.0, 0.000960544974077493, -0.03845009580254555, 0.005022839177399874, -0.047982942312955856, -0.009510992094874382, -0.024468792602419853, 0.9997525886255296]
pred step=1 action=[[-0.02149420168958381, 0.04845049500219678, 0.023048596546086375, -0.055772714404148466, -0.03379194791985868, 0.09645638765485387, 1.019911324261447, 0.001005737182657701, -0.04605818707018683, 0.004986352163038776, -0.053791477978664216, -0.010063367087737918, -0.025996634208615144, 1.0012856938985155]] left_gripper=1.019911324261447 right_gripper=1.0012856938985155
update step=2 qpos=[-0.0211943406611681, 0.04522430896759033, 0.02121085859835148, -0.05352740362286568, -0.03299466520547867, 0.09227631986141205, 1.0, 0.001002174918539822, -0.045152731239795685, 0.004958176054060459, -0.05305986478924751, -0.009994741529226303, -0.02580329030752182, 1.0]
pred step=2 action=[[-0.023481039911170655, 0.10922562386303936, 0.07022076774709335, -0.09962057779235291, -0.04721277394948753, 0.16105650023328563, 1.0262238727660695, -7.127773466630849e-05, -0.04728644218971467, 4.766945876810702e-06, -0.05087717190544916, -0.007543429507443855, -0.02493982014343976, 1.0053473502036576]] left_gripper=1.0262238727660695 right_gripper=1.0053473502036576
update step=3 qpos=[-0.023194659501314163, 0.10162118822336197, 0.06448505073785782, -0.09368105977773666, -0.045402590185403824, 0.1522890329360962, 1.0, 4.969630390405655e-05, -0.04701801389455795, 0.0005460265092551708, -0.05117661505937576, -0.007851028814911842, -0.025049731135368347, 1.0]
pred step=3 action=[[-0.026600702270815596, 0.18398197227359492, 0.12329288751173417, -0.15032534303319572, -0.05726828695561076, 0.23619493831691252, 1.0361969474681658, -0.0007703468896819166, -0.042233559961783795, -0.0008165007128186907, -0.046573503220863795, -0.004300656305538608, -0.023039718296034795, 1.0099636851398417]] left_gripper=1.0361969474681658 right_gripper=1.0099636851398417
update step=4 qpos=[-0.026191895827651024, 0.1742611825466156, 0.11630820482969284, -0.14305651187896729, -0.05575083941221237, 0.22550179064273834, 1.0, -0.0006817610119469464, -0.04280761256814003, -0.0006363936699926853, -0.047159407287836075, -0.004747267346829176, -0.023295622318983078, 1.0]
pred step=4 action=[[-0.03031016111945807, 0.27327205851859315, 0.18678353444905926, -0.20404806994520047, -0.06217815711177094, 0.3219643926314175, 1.0429106047717347, -0.0032608214568231875, -0.0454542796950147, -0.005411762750279214, -0.04612446788952411, -0.0028027173594546984, -0.015636056635529194, 1.013496291781653]] left_gripper=1.0429106047717347 right_gripper=1.013496291781653
