policy_step,action_l2_true_minus_false,false_adjacent_action_l2,true_adjacent_action_l2,false_tracking_error,true_tracking_error,false_surface_distance_m,true_surface_distance_m,false_alignment_error_m,true_alignment_error_m,false_coin_z_delta_m,true_coin_z_delta_m
17,0.3335540591049915,0.0794144502428176,0.10701661596812845,0.012144327163696289,0.01641225814819336,0.03658633046805057,0.03505198071515531,0.012329259432112915,0.03419142690284246,1.1920928955078125e-07,1.1920928955078125e-07
18,0.33272593047195675,0.12042100783221135,0.08992475999286108,0.009831547737121582,0.012273073196411133,0.03606859670679324,0.03432359780677485,0.010908527763632695,0.030276841706553013,-5.960464477539063e-08,-5.960464477539063e-08
19,0.29495168026735435,0.04481773638584179,0.08565541652002222,0.0035331249237060547,0.009217500686645508,0.03333038629682989,0.032658703712684985,0.011571898940644264,0.028260531927889986,1.1920928955078125e-07,1.1920928955078125e-07
20,0.2848554927827275,0.0962486285812107,0.07943729023793171,0.005214571952819824,0.0065735578536987305,0.028492816437407167,0.031101565153499964,0.015597153525807584,0.028504902640213877,5.960464477539063e-08,5.960464477539063e-08
21,0.30083007669287093,0.12287247323361433,0.07971169870909675,0.008005142211914062,0.005232024937868118,0.02284869297970639,0.028902506441708484,0.014332006984752026,0.029226680448815583,1.1920928955078125e-07,1.1920928955078125e-07
22,0.3108588032754044,0.09635040996957443,0.07420994384783886,0.007566630840301514,0.005633227527141571,0.01905118922526079,0.026805613122288963,0.013257901389863188,0.02980023708632747,1.1920928955078125e-07,1.1920928955078125e-07
23,0.2743459659075763,0.04693952893008047,0.06680929579826995,0.006235936656594276,0.005668135359883308,0.015347614098013345,0.024590142591970607,0.015000217527688315,0.030523401785449905,5.960464477539063e-08,5.960464477539063e-08
24,0.2848563217314418,0.07717487716558113,0.06380197949329482,0.006965768523514271,0.005611291155219078,0.01089446147509607,0.022084065384077076,0.01567165329322234,0.0313256850502897,1.1920928955078125e-07,1.1920928955078125e-07
25,0.3084988731780025,0.08748443443912356,0.06323324924827901,0.007364590652287006,0.005546027794480324,0.009664262139358957,0.019917753152637586,0.014103243672963183,0.03179820234388964,1.1920928955078125e-07,1.1920928955078125e-07
26,0.3046455495046739,0.07294695299255195,0.056400299250733296,0.006798174697905779,0.005261127837002277,0.00419114509976098,0.018436814062820068,0.009720192794728865,0.0324572322850222,-5.960464477539063e-08,-5.960464477539063e-08
27,0.290413460993722,0.03295365896390658,0.048292599446296144,0.010680317878723145,0.0048115067183971405,0.0035485598179957386,0.017406281360137173,0.010868173416346254,0.03322463570969879,1.1920928955078125e-07,1.1920928955078125e-07
28,0.31316023184556996,0.09090163875129195,0.040910579458702474,0.010232636705040932,0.004287451505661011,0.002865798523531986,0.016480744217240287,0.007465676357137002,0.033781581926487,1.1920928955078125e-07,1.1920928955078125e-07
29,0.27297367953695656,0.05321782798920696,0.03794176624408767,0.010938419494777918,0.003870646469295025,0.002916932240981358,0.01580130091374508,0.008587654862778175,0.03426049218185631,1.1920928955078125e-07,1.1920928955078125e-07
30,0.3018097781527481,0.06779066378154938,0.03397053659908764,0.010470494395121932,0.003471001982688904,0.0023428624235874327,0.015870310965816977,0.006272064681860754,0.034938654294297364,1.1920928955078125e-07,1.1920928955078125e-07
31,0.29236906612426056,0.029630909298136995,0.030372755683483837,0.01075777830556035,0.0031058902386575937,0.002078273445144549,0.01627588495186853,0.006117674477466013,0.035613532614506796,5.960464477539063e-08,5.960464477539063e-08
32,0.28315015315128633,0.027187748825452145,0.025265865579569002,0.010266644676448777,0.002710171858780086,0.0021655566134469386,0.01694384782410925,0.005258896376004839,0.036402528935123725,1.1920928955078125e-07,1.1920928955078125e-07
33,0.29260403950222036,0.056866246047144395,0.02202537334913053,0.011043884500395507,0.0023178666015155613,0.002206955936720555,0.01781314995195257,0.005304015226276127,0.037294334186082835,1.1920928955078125e-07,1.1920928955078125e-07
34,0.3009531011226374,0.04877216197614622,0.020776692849439088,0.010746435029432178,0.0019998156640212983,5.532184293123729e-05,0.018562424899111658,0.00838328651119568,0.03805536790261368,1.4424324035644531e-05,1.1920928955078125e-07
35,0.309470610930271,0.03155980226277925,0.017280759319646403,0.010498302057385445,0.001977205276489258,1.5081974324815398e-05,0.019444024083899617,0.006879855038000496,0.038900179104232546,0.00026357173919677734,0.0
36,0.30924527267173646,0.02960123274129097,0.019769683557564317,0.010355191770941019,0.0023584365844726562,0.00021596454142403974,0.020509758582047326,0.00871542389356618,0.03989064291750323,0.0002110600471496582,1.1920928955078125e-07
37,0.31987207121969985,0.0569388387944735,0.019818867294549906,0.010169564047828317,0.0025652647018432617,0.0004909872830345177,0.021892912947926477,0.009422643402617774,0.041296846570548114,0.0007528066635131836,1.1920928955078125e-07
38,0.3297603274296702,0.0215297512068454,0.024645596746447805,0.010210754116997123,0.0033667709212750196,0.00026460849214844255,0.023922633391267312,0.010474495700522656,0.04334501096968465,0.002176225185394287,0.0
39,0.3343488881989807,0.032543973440059354,0.023300306844259013,0.010020827990956604,0.00438153650611639,0.00010143406718825743,0.026540161443854834,0.016309827787035953,0.04601179602671518,0.003068983554840088,0.0
40,0.3575732044920971,0.07171725231243264,0.022199556609449098,0.009999999776482582,0.005327756516635418,0.0016943820296387469,0.029200071342545975,0.019648392187954253,0.04866830023377236,0.0032524466514587402,1.1920928955078125e-07
41,0.3476865359814441,0.04734859106582738,0.017275030669795476,0.009999999776482582,0.005932982545346022,0.006315446212304503,0.03193290484627819,0.023379469012980283,0.05138094939037172,0.00308072566986084,-5.960464477539063e-08
42,0.36021007102752656,0.042676802844630886,0.020747027057723126,0.009999999776482582,0.006634901277720928,0.007302323896975399,0.03507096707928254,0.023532795166094793,0.054493820359965604,0.0023460984230041504,1.1920928955078125e-07
43,0.38206938450825123,0.044823917467930706,0.020374165434889024,0.009999999776482582,0.00718420185148716,0.012322947984066919,0.03845378626099465,0.029696984599445166,0.057827735226858905,0.002630770206451416,1.1920928955078125e-07
44,0.3829450687708573,0.038547659568298705,0.02141538966851752,0.009999999776482582,0.007550580892711878,0.018996404652831672,0.04232292011848762,0.035819532194962686,0.06162688532018904,0.0027468204498291016,5.960464477539063e-08
45,0.4014763998193382,0.04322479744690887,0.023995477088462096,0.009999999776482582,0.007861671037971973,0.012574466870719824,0.04629177808980466,0.029843118149016697,0.06550579130584731,0.003343343734741211,5.960464477539063e-08
46,0.4287529255041313,0.04953146223376808,0.02877705970783547,0.009999999776482582,0.008117974735796452,0.021412601682929067,0.05096254193161848,0.038230698297345336,0.07006003798399109,0.0032331347465515137,0.0
47,0.472809528382321,0.06506466447109648,0.03455577936802884,0.009999999776482582,0.00827142782509327,0.028037227083325,0.05624450721741877,0.04576155463181025,0.07520325714426869,0.0036034584045410156,1.1920928955078125e-07
48,0.48513348381820903,0.040186262646803375,0.03660272820879362,0.009999999776482582,0.008350278250873089,0.02387749741424253,0.061663227343314676,0.04135207351384271,0.08048254553636873,0.004516005516052246,5.960464477539063e-08
49,0.5196466366834692,0.0401296001062594,0.04457153176457855,0.009999999776482582,0.008383103646337986,0.029974733245001356,0.06815887197234076,0.047354924744727314,0.08681405153593559,0.004743397235870361,1.1920928955078125e-07
50,0.5570784725262626,0.03687650673564562,0.0472548434689284,0.009999999776482582,0.008388325572013855,0.03061738124518682,0.0752795279622419,0.04797463556934977,0.0937846118444446,0.00542372465133667,-5.960464477539063e-08
51,0.5959403210501026,0.318680694809041,0.06758643843581906,0.028281819075345993,0.010113239288330078,0.05282961038678612,0.08524753196559111,0.06513775382017105,0.10362324004585184,0.007430434226989746,1.1920928955078125e-07
52,0.6473513958461283,0.025049180974445064,0.07662305541035129,0.030121587216854095,0.011467695236206055,0.043099014289794096,0.09637463960290257,0.0603675035749258,0.11461149188307695,0.009273827075958252,1.1920928955078125e-07
53,0.6918174912590848,0.051511105608962604,0.08972439677203738,0.027626346796751022,0.012526512145996094,0.041198661591530926,0.10928498777622639,0.05825341857584579,0.1273373375677986,0.00862663984298706,1.7881393432617188e-07
54,0.7626112835035589,0.03359431968862146,0.09814692002486211,0.02207670360803604,0.014286220073699951,0.038657477869023765,0.12364443781965231,0.0553800999871264,0.14145971763768092,0.008582890033721924,1.1920928955078125e-07
55,0.838630915942008,0.05395306968928365,0.11561409744843838,0.02412913739681244,0.017219603061676025,0.03668498373493409,0.14003227596891693,0.05263967297533626,0.15759705891608278,0.010535001754760742,5.960464477539063e-08
56,0.9634194530982533,0.024905910660021516,0.13419749418332053,0.02038094401359558,0.020651578903198242,0.05471495139685107,0.15839067560841213,0.07243516167967579,0.1757047654663876,-0.0011584758758544922,0.0
57,1.0681350083616274,0.06422350168049765,0.16127983338644677,0.020751234143972397,0.02537292242050171,0.0615209980072888,0.17908286446990304,0.07973039371269834,0.19623979746962453,-0.0009799003601074219,1.7881393432617188e-07
58,1.2369577719793337,0.02011522242071598,0.17846811726577277,0.020571473985910416,0.028668522834777832,0.06874436206006389,0.20032706781356263,0.08751044475614102,0.21759151336057123,-0.0018138289451599121,0.0
59,1.3849206540004473,0.062029704336831526,0.19710474747368303,0.015360802412033081,0.03194695711135864,0.0722686126576758,0.22230034007304125,0.09107537385638187,0.23968923642701037,-0.002886176109313965,1.1920928955078125e-07
60,1.5671848974514742,0.033358117762228565,0.1933673993946409,0.014652285724878311,0.0319889634847641,0.07868762549104247,0.24224731748015674,0.09487776598026616,0.25975359010796006,-0.00975733995437622,1.1920928955078125e-07
61,1.7323215946936652,0.03298726485625813,0.19278779285329106,0.01675448939204216,0.03174767270684242,0.08486705601424409,0.26033017898516275,0.09896099022485089,0.2779817019012073,-0.013257622718811035,-5.960464477539063e-08
62,1.8703426133762076,0.05333228158994145,0.17275909663953257,0.020557522773742676,0.02880966290831566,0.08199242980035273,0.2753321745076749,0.09565294526728156,0.293230577120174,-0.013257622718811035,1.1920928955078125e-07
63,2.0449769548938384,0.0376673080301261,0.1596175541993479,0.014513753354549408,0.02646137773990631,0.08125631335500362,0.2877591904398202,0.09497151646994019,0.30598045088757847,-0.013257622718811035,1.1920928955078125e-07
64,2.1188433686352846,0.07093974930654337,0.14008462095725913,0.01827748492360115,0.0233231782913208,0.07942886138340627,0.2977486362814086,0.0928400717139143,0.31621291471110996,-0.013257622718811035,1.1920928955078125e-07
65,2.2208743575744716,0.02654422268941243,0.11908886837667586,0.020852774381637573,0.019723474979400635,0.07708990450326539,0.3053458654582745,0.0907299965411029,0.32398556925012506,-0.013257622718811035,1.1920928955078125e-07
66,2.3343395060127454,0.030111397215291786,0.1026098937612831,0.009999999776482582,0.017076581716537476,0.07661130771918148,0.31127614534818254,0.09012433570864177,0.3300352980995341,-0.013257622718811035,5.960464477539063e-08
67,2.369230474057995,0.05215011819711658,0.08229891999157646,0.010400872677564621,0.013936340808868408,0.07517321228216763,0.31566829725378887,0.087898260184165,0.33450289412542766,-0.013257622718811035,5.960464477539063e-08
68,2.408255190792515,0.042766525974776794,0.0641468053750292,0.014082100242376328,0.011052817106246948,0.07584057377334752,0.3188028333321316,0.08864941298108886,0.33768641847303305,-0.013257622718811035,1.1920928955078125e-07
69,2.4140417632406828,0.06488273723867957,0.04872914337497791,0.009999999776482582,0.009974025189876556,0.07504992455373664,0.32123558085785403,0.08742701194724772,0.340146119950008,-0.013257622718811035,1.1920928955078125e-07
70,2.4246596573905426,0.03758877356790154,0.044488119741124356,0.009999999776482582,0.0098943579941988,0.07364860446372853,0.3230460837631293,0.08591713151827,0.34197383355159444,-0.013257622718811035,-5.960464477539063e-08
71,2.464866557132682,0.03699386810321965,0.03747957035912476,0.009999999776482582,0.009999999776482582,0.07790435414483944,0.32476272500431574,0.08956941841263732,0.3436995345595661,-0.013257622718811035,1.1920928955078125e-07
72,2.452700805261549,0.04788250965203048,0.03264203628607764,0.009999999776482582,0.009999999776482582,0.07743450111584443,0.32605665725454497,0.08912966738800204,0.3449986228817948,-0.013257622718811035,0.0
73,2.450728456656748,0.042992827489660344,0.03272452358276223,0.009999999776482582,0.009999999776482582,0.07792741299853534,0.3272258690709193,0.08974186050332401,0.34617041091371203,-0.013257622718811035,5.960464477539063e-08
74,2.411429910233179,0.07357807656082584,0.03335346617734542,0.009999999776482582,0.009999999776482582,0.08085462742468223,0.32822084939110663,0.0931359788487815,0.3471664451739915,-0.013257622718811035,1.1920928955078125e-07
75,2.425614843616956,0.025316866982462535,0.03085640106493905,0.009999999776482582,0.009999999776482582,0.08036482974582489,0.32879721572454035,0.09270827118948921,0.3477431786830804,-0.013257622718811035,1.1920928955078125e-07
76,2.4453570419389226,0.025145887519916393,0.03374370323189164,0.009999999776482582,0.009999999776482582,0.08648509848899821,0.32921591501198855,0.09852958515168038,0.34816101381138415,-0.013257622718811035,-5.960464477539063e-08
77,2.345411624164682,0.11772990091071169,0.0422366223717564,0.013671875,0.009999999776482582,0.08760505644191663,0.32966315711548116,0.10112890059496844,0.34860827200618727,-0.013257622718811035,1.1920928955078125e-07
78,2.2835473665748105,0.06666258329758148,0.04759709884046508,0.010904431343078613,0.009999999776482582,0.09214415835404212,0.3299566424586939,0.10636302366983917,0.3489012070232302,-0.013257622718811035,1.7881393432617188e-07
79,2.248315236253565,0.0410252481348424,0.04879796644787144,0.008080190978944302,0.009999999776482582,0.09469768890657167,0.3301835604121297,0.10942802643793978,0.3491291029481494,-0.013257622718811035,0.0
80,2.1028452332326033,0.158907680073964,0.05247296765161132,0.019424498081207275,0.009999999776482582,0.1086615859556221,0.33045260490028616,0.12424957851210135,0.3493970533858093,-0.013257622718811035,1.1920928955078125e-07
81,2.039550949561114,0.07014973799325082,0.057734200839636186,0.011778116226196289,0.009999999776482582,0.1162869197374813,0.3306917955116706,0.1322635574176061,0.3496333104783405,-0.013257622718811035,1.1920928955078125e-07
82,1.9448655043683538,0.10822922408756683,0.06745431586414284,0.015910863876342773,0.010118335485458374,0.11810249974629378,0.3309194221343133,0.1344805167291207,0.3498607770427824,-0.013257622718811035,0.0
83,1.8208948550776918,0.1354094061366582,0.07005983900960969,0.02228856086730957,0.010618746280670166,0.13262643506496857,0.3310528030726999,0.14917790495205635,0.3499957368925192,-0.013257622718811035,5.960464477539063e-08
84,1.5911341383092465,0.24174615586645487,0.07683034024097078,0.033777981996536255,0.011580288410186768,0.15980826511504284,0.3309925788432043,0.17625529824189634,0.34993979543156645,-0.013257622718811035,1.1920928955078125e-07
85,1.4611032794019834,0.1450424629428722,0.08111977877572177,0.021968692541122437,0.012199699878692627,0.17395185630427162,0.33091847833971627,0.19044984765788095,0.34986865049053195,-0.013257622718811035,5.960464477539063e-08
86,1.1723764837441044,0.31590957985538065,0.08153796198183198,0.07575856149196625,0.012268900871276855,0.19902203845860938,0.33102428988572136,0.21508249803069943,0.34997395145521504,-0.013257622718811035,1.1920928955078125e-07
87,1.012168884263719,0.1811611747959344,0.07215299557164759,0.03535906132310629,0.01116931438446045,0.22645318072114318,0.3310775271955659,0.24216717000728694,0.35002916323545935,-0.013257622718811035,-5.960464477539063e-08
88,0.8568521177722347,0.17915732868651943,0.05095787908177189,0.018352538347244263,0.009999999776482582,0.2375054234203806,0.3310269960946965,0.25262894698280625,0.3499845031681171,-0.013257622718811035,1.1920928955078125e-07
89,0.6399662272910378,0.2479101808133678,0.056193283945952105,0.04360392689704895,0.009999999776482582,0.2581469451091196,0.3309917006847703,0.2728734067866166,0.34994745230423757,-0.013257622718811035,0.0
90,0.47728990089444323,0.23683623970512274,0.06230135464346515,0.04046425223350525,0.009999999776482582,0.2781258214087038,0.3308723357286745,0.2922846623422647,0.34982626042248827,-0.013257622718811035,1.1920928955078125e-07
91,0.27182333343440246,0.2995390887149568,0.07800288604327808,0.03767845034599304,0.011256277561187744,0.29101186912954663,0.3304739616251952,0.3049788091536701,0.34943073445792416,-0.013257622718811035,1.1920928955078125e-07
92,0.2789566711926787,0.07060952616943247,0.08524444514761181,0.010360091924667358,0.012548565864562988,0.29297705305239785,0.3298349225939144,0.30684040938950197,0.3487948382149249,-0.013257622718811035,1.1920928955078125e-07
93,0.326087026782369,0.16170220712834252,0.09305267646082768,0.01999109983444214,0.013741791248321533,0.2992382090283842,0.32924266489962567,0.3128983789933785,0.34820468434375307,-0.013257622718811035,5.960464477539063e-08
94,0.32175466310904255,0.15460465387975444,0.09950509000429365,0.02135181427001953,0.01468348503112793,0.3018851591377725,0.32885653330247605,0.31556331419509964,0.34781276290383667,-0.013257622718811035,1.1920928955078125e-07
95,0.36027400798908077,0.1824865893232403,0.10237594866624497,0.024177372455596924,0.015239357948303223,0.3034281036750138,0.3285561645966681,0.3172543796854016,0.34750756045882714,-0.013257622718811035,5.960464477539063e-08
96,0.3983275817428429,0.21338056690794394,0.09265186970397142,0.031268179416656494,0.01408541202545166,0.30588618010270785,0.3281113365605799,0.31970531568116506,0.34705947370057766,-0.013257622718811035,1.1920928955078125e-07
97,0.45197783405314995,0.05055520246737255,0.09270778949937336,0.007561385631561279,0.014094293117523193,0.3063044186834051,0.3275618711598917,0.320146308392341,0.3465152441949714,-0.013257622718811035,1.1920928955078125e-07
98,0.4667507234501426,0.08955991096925103,0.08865327641728038,0.009693384170532227,0.013573408126831055,0.3062875235065417,0.32699645872071753,0.31998989181104315,0.34595394461627677,-0.013257622718811035,5.960464477539063e-08
99,0.48071173284522534,0.08612679707947773,0.07845138659323181,0.013057589530944824,0.012253761291503906,0.3059282052598623,0.32646243046596196,0.31961624704770103,0.3454239449493979,-0.013257622718811035,5.960464477539063e-08
100,0.5424520055772012,0.04621296873474541,0.08150458435626638,0.005780551582574844,0.012455582618713379,0.30377170827232863,0.32589683344302245,0.3175459794013905,0.34486075291987606,-0.013257622718811035,1.7881393432617188e-07
101,1.0196640415790377,1.1413131573929018,0.06946413058520028,0.4703371524810791,0.01081991195678711,0.29068279166220484,0.3250576839394566,0.3051810250283731,0.3440200923860065,-0.013257622718811035,5.960464477539063e-08
102,0.9537369546250277,0.12915692219057484,0.061684435357766604,0.2453007698059082,0.009999999776482582,0.28025226329174957,0.32390954079013934,0.2951118481696167,0.3428673010144268,-0.013257622718811035,5.960464477539063e-08
103,0.9278936432719047,0.029712486765720084,0.054668522601534465,0.0718604326248169,0.009999999776482582,0.2814604389336914,0.32261449223917726,0.2962676649528936,0.3415648395805129,-0.013257622718811035,5.960464477539063e-08
104,0.8327829635861689,0.12003990888743073,0.05070500876137851,0.017055630683898926,0.009999999776482582,0.27992275225288454,0.32089726624059833,0.294593124349646,0.3398358316393844,-0.013257622718811035,1.7881393432617188e-07
105,0.844051872221147,0.06249481201598572,0.044225765896603826,0.007419466972351074,0.009999999776482582,0.28049603427404995,0.31905140609256055,0.29521184195358885,0.3379763740909219,-0.013257622718811035,0.0
106,0.7775226343965402,0.15934965912626803,0.04476954561041867,0.017167508602142334,0.009999999776482582,0.2766021838520443,0.31698341909129185,0.29120206218199346,0.3358890085290217,-0.013257622718811035,5.960464477539063e-08
107,0.7284002460555592,0.14034691800445953,0.040383638290929835,0.01435697078704834,0.009999999776482582,0.27099812217411895,0.3145138170102725,0.28553052381373645,0.33339802217777365,-0.013257622718811035,1.1920928955078125e-07
108,0.7104418516243979,0.07309479052124503,0.04504859899700598,0.00536346435546875,0.009742585942149162,0.2730555068580672,0.31135419585118895,0.2874048057042152,0.3302103060281074,-0.013257622718811035,1.1920928955078125e-07
109,0.7173192894738871,0.09159281998600269,0.05061716067612813,0.01156461238861084,0.009360041469335556,0.2706061135842167,0.30799930992022295,0.2848239621448596,0.3268202996296582,-0.013257622718811035,5.960464477539063e-08
110,0.7057745736183536,0.11699405859551092,0.0548444598081903,0.015493303537368774,0.008986887522041798,0.26251531667387334,0.303927827962483,0.27678207850438685,0.32270480035111615,-0.013257622718811035,5.960464477539063e-08
111,0.7225541824795909,0.11725103908587763,0.06510306269775303,0.012547612190246582,0.008529105223715305,0.26856310924226123,0.29903704210450976,0.28206471202791417,0.31775741487417397,-0.013257622718811035,5.960464477539063e-08
112,0.7481891405149124,0.1503847151486123,0.07509130939688223,0.016239136457443237,0.00939825177192688,0.25960181033535945,0.2934504407379029,0.2729391990543655,0.31209231247544467,-0.013257622718811035,-5.960464477539063e-08
113,0.7673706149446293,0.04894842061324226,0.09198311926106356,0.0043485164642333984,0.011455193161964417,0.26015929954234746,0.28692627986284436,0.2735966236435117,0.30545705178565935,-0.013257622718811035,1.1920928955078125e-07
114,0.8549719627730166,0.059722039597502746,0.0980369236712126,0.0067708492279052734,0.012508511543273926,0.26205169816588014,0.2796294109426578,0.2751371772999643,0.298017918001427,-0.013257622718811035,1.1920928955078125e-07
115,0.8631492436201533,0.10885193766479263,0.10695852120757551,0.012033581733703613,0.013401363044977188,0.25349464271513306,0.2715146285116045,0.2663351185501852,0.28974698165219354,-0.013257622718811035,1.1920928955078125e-07
116,0.9005930433852051,0.09544231513524545,0.11184871357121395,0.012552618980407715,0.014151789247989655,0.25011048921482737,0.2624407818562847,0.2627108350077651,0.2805959849202331,-0.013257622718811035,1.1920928955078125e-07
117,0.995934712911544,0.07561441140853042,0.11461861352346579,0.007887959480285645,0.014237016439437866,0.25141489972787157,0.25292226364440434,0.2643316193714028,0.27098872140072644,-0.013257622718811035,1.1920928955078125e-07
118,1.033424982817212,0.1451305327284183,0.11982582069004523,0.01373782753944397,0.014592990279197693,0.24349140786671788,0.24272475372593202,0.2563597505513888,0.260686008299561,-0.013257622718811035,1.1920928955078125e-07
119,1.1332177632148532,0.06413319317848294,0.11654420354553904,0.005065128207206726,0.014026522636413574,0.24642937916286947,0.2325550298836532,0.2593476708027157,0.25039811333587564,-0.013257622718811035,1.1920928955078125e-07
120,1.1933390518601361,0.1168559868264294,0.1258248777820466,0.011930674314498901,0.014569133520126343,0.24186443983339476,0.221195394123156,0.2549033774980431,0.23892327592020013,-0.013257622718811035,5.960464477539063e-08
121,1.2577621716033716,0.12577122460289086,0.12199110937837332,0.013155758380889893,0.01391458511352539,0.23608941953365392,0.2097926248192997,0.24880806720075957,0.22742178117634426,-0.013257622718811035,1.1920928955078125e-07
122,1.3762295595682836,0.061001290657230096,0.13436575571000445,0.005194306373596191,0.014921873807907104,0.24333371157422307,0.19708294758322764,0.2563218641433324,0.21466566676134832,-0.013257622718811035,-5.960464477539063e-08
123,1.4228611322721103,0.11335240430555912,0.13063430092551268,0.011303618550300598,0.014137566089630127,0.240296320454145,0.18402975169355898,0.25346048238992036,0.20175461799545186,-0.013257622718811035,1.1920928955078125e-07
124,1.4927051321968967,0.04506695862731436,0.1325284967732264,0.0065607428550720215,0.014131784439086914,0.24233627407163916,0.1705297266043646,0.25602047332431127,0.1883966187965241,-0.013257622718811035,1.1920928955078125e-07
125,1.5196930778003623,0.2886782937432203,0.12175123176340015,0.03327084053307772,0.013237237930297852,0.2334786604775429,0.15781410933632187,0.24745859270698542,0.17592938816369452,-0.013257622718811035,5.960464477539063e-08
126,1.5211417186093579,0.21695739314938955,0.1206401401702736,0.023343592882156372,0.012865662574768066,0.22107834218752725,0.14545556466338602,0.23585637874287882,0.16400470635021863,-0.013257622718811035,1.1920928955078125e-07
127,1.6234433984718235,0.10040045809124001,0.12330466371102361,0.015584096312522888,0.013063311576843262,0.21616338590680748,0.13277245498494689,0.23126973315948213,0.15184317461994282,-0.013257622718811035,1.1920928955078125e-07
128,1.6554233046937965,0.20816725688779616,0.1171441114590826,0.019801199436187744,0.012213647365570068,0.20878391319497228,0.12090105583477473,0.2253100408586434,0.14062427929551438,-0.013257622718811035,1.1920928955078125e-07
129,1.689702133369393,0.09916371265878915,0.10814537111296603,0.012012988328933716,0.011075735092163086,0.213406935426629,0.11059239895488206,0.2305346587059341,0.13103755712783374,-0.013257622718811035,0.0
130,1.7559015105256033,0.20372220329539964,0.101326499887275,0.024165421724319458,0.010259240865707397,0.19835083468355583,0.10191948726767289,0.21609037553215688,0.12293008212866383,-0.013257622718811035,1.1920928955078125e-07
131,1.8055297389880038,0.17857327987697322,0.10059358045487768,0.01900792121887207,0.010123729705810547,0.19052987755604192,0.09523714461456317,0.20959411568715253,0.11667913991873033,-0.013257622718811035,0.0
132,1.8571394082864106,0.05584174982928571,0.09995417923947901,0.008034169673919678,0.010213404893875122,0.1950989910951479,0.09067771376586208,0.21524676077927202,0.11208037313052674,-0.013257622718811035,-5.960464477539063e-08
