policy_step,candidate_count,oldest_weight,newest_weight
1,1,1.0,1.0
2,2,0.5024999791668749,0.497500020833125
3,3,0.3366721665289847,0.33000561097102177
4,4,0.2537624057326252,0.24626259322575048
5,5,0.20401986544074344,0.19602013209274433
6,6,0.17086093515240852,0.16252794901467937
7,7,0.14717835317702554,0.1386073531334593
8,8,0.12941848862789176,0.12066899897821452
9,9,0.11560710208671807,0.106718805694638
10,10,0.10455964986943994,0.09556032473672187
11,11,0.09552233141976997,0.08643217972663987
12,12,0.08799261300597613,0.07882678638469066
13,13,0.08162258663453342,0.0723927401838844
14,14,0.07616374657221213,0.06687903786685104
15,15,0.07143385525933248,0.062101610355986984
16,16,0.06729623450555011,0.057922405822298184
17,17,0.06364636567536583,0.054235855200535255
18,18,0.06040295647846664,0.0509598491992849
19,19,0.05750182877364458,0.04802956467629687
20,20,0.054891640031541025,0.045393143101213965
21,21,0.05253082723660805,0.043008603743237464
22,22,0.05038538427035404,0.04084159871670306
23,23,0.04842721910765678,0.03886375366694229
24,24,0.04663292171399907,0.03705142328467963
25,25,0.04498282764736884,0.03538474549697518
26,26,0.04346029775202933,0.03384691392179686
27,27,0.04205115792034108,0.03242361199935519
28,28,0.040743258905623025,0.031102568381009995
29,29,0.03952612720821539,0.029873204306679977
30,30,0.038390685784330844,0.02872635150677111
31,31,0.03732902881125773,0.02765402470373253
32,32,0.03633423868408836,0.02664923676957143
33,33,0.03540023628577021,0.02570584749109317
34,34,0.03452165768008976,0.024818439023629058
35,35,0.033693751943002725,0.023982212695554356
36,36,0.03291229602207646,0.023192903012053873
37,37,0.03217352340250986,0.022446705604223415
38,38,0.031474064036413854,0.02174021655462956
39,39,0.03081089351374163,0.021070381057399185
40,40,0.030181289857579837,0.020434449779296163
41,41,0.029582796642080616,0.019829941606982437
42,42,0.02901319137926102,0.019254611716099483
43,43,0.028470458316947164,0.018706424095827266
44,44,0.027952764946090107,0.01818352782009473
45,45,0.027458441640440097,0.017684236482629342
46,46,0.026985963951915912,0.017207010314391948
47,47,0.026533937166140272,0.01675044058389274
48,48,0.026101082788533736,0.016313235947468148
49,49,0.02568622668517302,0.01589421047095277
50,50,0.025288288646746752,0.01549227308875117
51,50,0.025288288646746752,0.01549227308875117
52,50,0.025288288646746752,0.01549227308875117
53,50,0.025288288646746752,0.01549227308875117
54,50,0.025288288646746752,0.01549227308875117
55,50,0.025288288646746752,0.01549227308875117
56,50,0.025288288646746752,0.01549227308875117
57,50,0.025288288646746752,0.01549227308875117
58,50,0.025288288646746752,0.01549227308875117
59,50,0.025288288646746752,0.01549227308875117
60,50,0.025288288646746752,0.01549227308875117
61,50,0.025288288646746752,0.01549227308875117
62,50,0.025288288646746752,0.01549227308875117
63,50,0.025288288646746752,0.01549227308875117
64,50,0.025288288646746752,0.01549227308875117
65,50,0.025288288646746752,0.01549227308875117
66,50,0.025288288646746752,0.01549227308875117
67,50,0.025288288646746752,0.01549227308875117
68,50,0.025288288646746752,0.01549227308875117
69,50,0.025288288646746752,0.01549227308875117
70,50,0.025288288646746752,0.01549227308875117
71,50,0.025288288646746752,0.01549227308875117
72,50,0.025288288646746752,0.01549227308875117
73,50,0.025288288646746752,0.01549227308875117
74,50,0.025288288646746752,0.01549227308875117
75,50,0.025288288646746752,0.01549227308875117
76,50,0.025288288646746752,0.01549227308875117
77,50,0.025288288646746752,0.01549227308875117
78,50,0.025288288646746752,0.01549227308875117
79,50,0.025288288646746752,0.01549227308875117
80,50,0.025288288646746752,0.01549227308875117
81,50,0.025288288646746752,0.01549227308875117
82,50,0.025288288646746752,0.01549227308875117
83,50,0.025288288646746752,0.01549227308875117
84,50,0.025288288646746752,0.01549227308875117
85,50,0.025288288646746752,0.01549227308875117
86,50,0.025288288646746752,0.01549227308875117
87,50,0.025288288646746752,0.01549227308875117
88,50,0.025288288646746752,0.01549227308875117
89,50,0.025288288646746752,0.01549227308875117
90,50,0.025288288646746752,0.01549227308875117
91,50,0.025288288646746752,0.01549227308875117
92,50,0.025288288646746752,0.01549227308875117
93,50,0.025288288646746752,0.01549227308875117
94,50,0.025288288646746752,0.01549227308875117
95,50,0.025288288646746752,0.01549227308875117
96,50,0.025288288646746752,0.01549227308875117
97,50,0.025288288646746752,0.01549227308875117
98,50,0.025288288646746752,0.01549227308875117
99,50,0.025288288646746752,0.01549227308875117
100,50,0.025288288646746752,0.01549227308875117
101,50,0.025288288646746752,0.01549227308875117
102,50,0.025288288646746752,0.01549227308875117
103,50,0.025288288646746752,0.01549227308875117
104,50,0.025288288646746752,0.01549227308875117
105,50,0.025288288646746752,0.01549227308875117
106,50,0.025288288646746752,0.01549227308875117
107,50,0.025288288646746752,0.01549227308875117
108,50,0.025288288646746752,0.01549227308875117
109,50,0.025288288646746752,0.01549227308875117
110,50,0.025288288646746752,0.01549227308875117
111,50,0.025288288646746752,0.01549227308875117
112,50,0.025288288646746752,0.01549227308875117
113,50,0.025288288646746752,0.01549227308875117
114,50,0.025288288646746752,0.01549227308875117
115,50,0.025288288646746752,0.01549227308875117
116,50,0.025288288646746752,0.01549227308875117
117,50,0.025288288646746752,0.01549227308875117
