2026/09/06 14:39:14.135, 5, 945, 12227, 36.58
2026/09/06 14:39:14.336, 5, 937, 12227, 36.58
2026/09/06 14:39:14.536, 5, 937, 12227, 36.92
2026/09/06 14:39:14.736, 6, 937, 12227, 36.92
2026/09/06 14:39:14.936, 6, 935, 12227, 36.92
2026/09/06 14:39:15.137, 6, 935, 12227, 37.70
2026/09/06 14:39:15.337, 6, 927, 12227, 37.70
2026/09/06 14:39:15.537, 6, 935, 12227, 37.77
2026/09/06 14:39:15.737, 6, 935, 12227, 37.77
2026/09/06 14:39:15.937, 6, 935, 12227, 37.77
2026/09/06 14:39:16.137, 6, 935, 12227, 37.70
2026/09/06 14:39:16.337, 6, 935, 12227, 37.70
2026/09/06 14:39:16.537, 6, 935, 12227, 37.60
2026/09/06 14:39:16.737, 6, 935, 12227, 37.60
2026/09/06 14:39:16.938, 6, 935, 12227, 37.60
2026/09/06 14:39:17.138, 6, 927, 12227, 37.77
2026/09/06 14:39:17.338, 6, 935, 12227, 37.77
2026/09/06 14:39:17.538, 6, 935, 12227, 37.75
2026/09/06 14:39:17.738, 6, 927, 12227, 37.75
2026/09/06 14:39:17.938, 6, 943, 12227, 37.75
2026/09/06 14:39:18.138, 6, 935, 12227, 37.58
2026/09/06 14:39:18.338, 6, 1167, 12227, 37.58
2026/09/06 14:39:18.538, 6, 1215, 12227, 38.63
2026/09/06 14:39:18.738, 7, 1301, 12227, 38.63
2026/09/06 14:39:18.939, 7, 1437, 12227, 38.63
2026/09/06 14:39:19.139, 7, 1437, 12227, 46.23
2026/09/06 14:39:19.339, 7, 1437, 12227, 46.23
2026/09/06 14:39:19.539, 7, 1437, 12227, 55.88
2026/09/06 14:39:19.739, 29, 1437, 12227, 55.88
2026/09/06 14:39:19.939, 29, 1435, 12227, 55.88
2026/09/06 14:39:20.139, 29, 1427, 12227, 60.92
2026/09/06 14:39:20.339, 29, 1435, 12227, 60.92
2026/09/06 14:39:20.540, 29, 1435, 12227, 50.12
